1
10000 20000
1 2 25
2 3 73
2 4 94
1 5 72
1 6 24
6 7 34
4 8 27
2 9 96
9 10 15
10 11 35
3 12 20
5 13 20
12 14 34
3 15 66
10 16 98
14 17 11
15 18 59
3 19 43
13 20 12
6 21 54
13 22 29
12 23 68
23 24 49
23 25 90
13 26 84
8 27 54
22 28 16
5 29 99
14 30 17
26 31 61
26 32 69
31 33 39
31 34 6
1 35 31
14 36 98
21 37 7
31 38 28
38 39 33
27 40 88
15 41 90
27 42 98
37 43 77
18 44 15
27 45 67
9 46 42
1 47 1
47 48 97
44 49 41
43 50 24
24 51 22
48 52 12
16 53 4
3 54 53
54 55 14
5 56 62
15 57 62
28 58 98
8 59 77
10 60 16
43 61 99
53 62 21
24 63 23
15 64 43
43 65 23
48 66 38
38 67 91
23 68 24
6 69 87
59 70 82
32 71 68
22 72 7
17 73 54
4 74 23
34 75 19
63 76 76
14 77 99
49 78 69
43 79 65
1 80 35
19 81 28
8 82 34
39 83 73
67 84 16
76 85 85
49 86 15
12 87 44
62 88 36
13 89 76
70 90 31
67 91 48
7 92 64
26 93 2
35 94 70
12 95 42
44 96 56
65 97 28
34 98 91
97 99 98
48 100 64
34 101 7
81 102 89
12 103 51
20 104 99
38 105 34
9 106 24
39 107 86
60 108 82
103 109 22
54 110 8
75 111 6
33 112 36
54 113 4
88 114 38
19 115 84
108 116 86
79 117 82
107 118 92
78 119 49
34 120 14
74 121 70
7 122 18
122 123 28
23 124 46
101 125 49
104 126 64
53 127 68
7 128 92
19 129 76
86 130 23
42 131 85
47 132 54
42 133 81
63 134 54
114 135 39
132 136 15
84 137 55
126 138 67
84 139 31
129 140 83
12 141 70
40 142 90
119 143 48
28 144 60
115 145 65
97 146 38
55 147 42
53 148 18
14 149 40
92 150 55
78 151 37
12 152 37
108 153 54
77 154 77
100 155 20
146 156 67
81 157 60
80 158 77
145 159 40
68 160 34
84 161 18
43 162 4
119 163 66
31 164 32
109 165 92
19 166 34
115 167 8
70 168 24
161 169 77
37 170 48
28 171 63
123 172 88
14 173 74
75 174 81
156 175 100
91 176 17
145 177 88
128 178 79
37 179 42
75 180 9
45 181 1
153 182 65
12 183 16
156 184 72
80 185 40
169 186 44
108 187 85
135 188 75
163 189 95
104 190 24
137 191 72
60 192 15
40 193 12
81 194 64
101 195 56
153 196 90
56 197 66
149 198 67
169 199 46
166 200 77
137 201 8
10 202 90
23 203 50
99 204 3
133 205 23
123 206 43
20 207 17
40 208 57
201 209 50
84 210 33
37 211 45
3 212 64
106 213 28
94 214 43
67 215 67
1 216 61
7 217 90
194 218 19
193 219 17
27 220 87
59 221 2
193 222 37
176 223 38
140 224 98
151 225 65
133 226 96
101 227 4
41 228 19
187 229 89
96 230 7
197 231 83
70 232 33
136 233 68
20 234 14
165 235 27
101 236 75
120 237 81
85 238 98
118 239 56
13 240 57
220 241 77
29 242 29
163 243 62
103 244 67
74 245 63
111 246 9
145 247 44
153 248 68
72 249 96
181 250 48
22 251 33
67 252 2
82 253 37
152 254 31
240 255 93
34 256 63
114 257 90
201 258 54
226 259 93
58 260 5
95 261 97
121 262 51
225 263 58
73 264 4
141 265 51
208 266 26
89 267 28
188 268 96
140 269 77
180 270 59
80 271 17
170 272 43
123 273 16
185 274 62
33 275 67
118 276 67
264 277 83
159 278 56
138 279 87
219 280 96
77 281 65
2 282 20
110 283 52
98 284 8
108 285 45
48 286 49
264 287 91
178 288 20
59 289 38
116 290 19
185 291 50
60 292 20
144 293 6
186 294 75
85 295 37
140 296 81
205 297 95
139 298 96
140 299 19
247 300 25
163 301 73
201 302 24
297 303 16
72 304 21
174 305 75
226 306 10
77 307 28
116 308 8
173 309 7
11 310 77
225 311 4
67 312 47
190 313 9
116 314 95
103 315 49
190 316 90
293 317 45
136 318 35
10 319 60
121 320 65
34 321 98
39 322 10
205 323 6
193 324 10
232 325 4
136 326 58
233 327 95
99 328 9
240 329 98
78 330 30
126 331 26
321 332 18
318 333 84
61 334 82
49 335 59
38 336 28
17 337 24
138 338 33
309 339 11
195 340 93
266 341 80
55 342 76
212 343 6
186 344 29
311 345 91
239 346 100
272 347 29
194 348 86
128 349 20
321 350 58
181 351 16
122 352 87
191 353 79
236 354 68
149 355 65
27 356 54
312 357 61
3 358 21
44 359 65
259 360 20
327 361 60
